User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
100000062,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0.2664,0.3524,0.2142,0.3441,0.4005,0.2625,0.1777,0.2314,0.2736,0.3524,0.4005
100000071,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.1363,0.1917,0.0523,0.1842,0.097,0.0366,0.14,0.1218,0.2076,0.1917,0.2076
100000099,Black,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.4362,0.2504,0.4979,0.5435,0.371,0.4666,0.4062,0.1861,0.3822,0.5435,0.4666
100000109,Black,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.0509,0.0397,0.0274,-0.056,-0.0084,0.0256,-0.0007,0.1361,0.0585,0.0397,0.1361
100000274,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.1227,0.1144,0.1067,0.1386,0.0699,0.0889,0.1255,0.0577,0.155,0.1386,0.155
100000285,All Other,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0.3081,0.2069,0.2648,0.3765,0.2785,0.3016,0.3168,0.2851,0.2792,0.3765,0.3168
100000306,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0.2459,0.3099,0.2719,0.3122,0.3154,0.2733,0.1646,0.2115,0.1675,0.3122,0.3154
100000319,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.2811,0.3841,0.1652,0.2439,0.355,0.1985,0.1795,0.1131,0.2609,0.3841,0.355
100000328,Asian,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0.0254,0.0376,-0.0048,0.0474,0.0257,-0.0166,-0.0052,0.0888,0.0432,0.0474,0.0888
100000334,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,-0.0294,0.0297,0.0497,0.0546,0.0225,0.0441,0.0329,0.1255,0.0208,0.0546,0.1255
100000394,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.2183,0.1468,0.2214,0.3031,0.174,0.2884,0.17,0.0748,0.1941,0.3031,0.2884
100000410,All Other,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.4196,0.214,0.3146,0.4975,0.3038,0.3562,0.4677,0.1394,0.3344,0.4975,0.4677
100000494,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,-0.0683,-0.0261,-0.0271,-0.0347,-0.0364,0.0092,-0.031,0.013,-0.0565,-0.0261,0.013
100000567,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.4199,0.2899,0.3583,0.4284,0.2675,0.4709,0.4043,0.1594,0.2778,0.4284,0.4709
100000584,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0.3495,0.236,0.2778,0.3642,0.2731,0.2986,0.3536,0.3835,0.3226,0.3642,0.3835
100000598,White,Woman,HS or Less,I,Increasing size of House of Representatives,FALSE,0.0342,0.1904,-0.0124,-0.0069,0.0333,-0.0032,-0.018,0.0872,0.0772,0.1904,0.0872
100000633,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0.0867,0.1033,0.0833,0.19,0.1274,0.1908,0.1169,0.134,0.0862,0.19,0.1908
100000659,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.4138,0.3469,0.3663,0.5002,0.3109,0.2998,0.2715,0.4293,0.3237,0.5002,0.4293
100000696,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.0044,-0.0487,0.0181,0.0065,-0.0403,0.0092,0.0804,0.119,0.0124,0.0181,0.119
