User ID,Ethnicity,Gender,Education,Party,Topic,In Support,favor,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
100000062,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.4828,0.4127,0.4096,0.2022,0.4542,0.2232,0.2975,0.2776,0.282,0.4127,0.4542
100000071,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.1056,0.0824,0.2551,0.1898,0.2122,0.102,0.1655,0.0769,0.1035,0.2551,0.2122
100000099,Black,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3866,0.2893,0.5306,0.3994,0.312,0.4297,0.5757,0.3562,0.3801,0.5306,0.5757
100000109,Black,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.056,0.1393,0.0813,-0.007,0.0207,0.05,0.0421,0.0451,0.0441,0.1393,0.05
100000274,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.0983,0.1082,0.1121,0.2117,0.0246,0.116,0.0883,0.1116,0.0967,0.2117,0.116
100000285,All Other,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.3084,0.2089,0.3495,0.2828,0.2628,0.3583,0.3886,0.2773,0.5237,0.3495,0.5237
100000306,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.3344,0.3017,0.3333,0.2892,0.2847,0.3045,0.2741,0.2345,0.5006,0.3333,0.5006
100000319,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.3276,0.2603,0.4572,0.2184,0.4328,0.17,0.2358,0.2066,0.0735,0.4572,0.4328
100000328,Asian,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0,0.039,0.0769,0.0648,0.11,0.051,0.0282,0.0045,0.023,0.0467,0.11,0.051
100000334,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.0663,0.0948,0.0159,0.0577,-0.0187,0.1051,0.0607,0.032,0.0863,0.0948,0.1051
100000394,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.2205,0.2138,0.267,0.2142,0.1615,0.2446,0.2778,0.2114,0.1707,0.267,0.2778
100000410,All Other,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.4218,0.2619,0.3761,0.4883,0.1861,0.3416,0.2899,0.4551,0.3088,0.4883,0.4551
100000494,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.0142,0.0519,0.0306,-0.0175,-0.0588,-0.0194,-0.0389,-0.036,0.0048,0.0519,0.0048
100000567,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.3878,0.2976,0.4928,0.4294,0.1801,0.4798,0.4378,0.3295,0.3731,0.4928,0.4798
100000584,White,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.295,0.2044,0.174,0.33,0.1073,0.3109,0.214,0.3098,0.2635,0.33,0.3109
100000598,White,Woman,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.0712,0.0963,0.0877,0.0214,0.0625,0.0077,0.0194,0.0647,0.0392,0.0963,0.0647
100000633,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.1727,0.1783,0.1981,0.1339,0.1134,0.1901,0.133,0.1203,0.1864,0.1981,0.1901
100000659,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.3834,0.3173,0.4676,0.3717,0.3528,0.4442,0.5309,0.3013,0.5507,0.4676,0.5507
100000696,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.0467,-0.0103,0.034,0.0348,-0.0721,0.0123,-0.0263,0.054,0.0472,0.0348,0.054
100000713,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.1701,0.2178,0.3299,0.1751,0.1491,0.3115,0.4252,0.2047,0.2014,0.3299,0.4252
100000716,White,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0,0.2047,0.2551,0.2229,0.1431,0.2074,0.1815,0.3011,0.1888,0.1831,0.2551,0.3011
100000737,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3812,0.3744,0.3663,0.3416,0.1799,0.4584,0.3448,0.3826,0.3245,0.3744,0.4584
100000756,Asian,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.0024,0.0661,0.0523,0.1245,-0.0313,0.0867,0.0038,0.0074,0.0867,0.1245,0.0867
100000773,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3497,0.3589,0.4055,0.3775,0.2678,0.545,0.3483,0.4867,0.2877,0.4055,0.545
100000781,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.243,0.2563,0.1793,0.2265,0.1285,0.3337,0.1766,0.3717,0.1301,0.2563,0.3717
100000852,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.1493,0.1498,0.3995,0.1753,0.3449,0.1049,0.3189,0.1855,0.1144,0.3995,0.3449
100000863,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2938,0.1628,0.3323,0.2207,0.3012,0.2079,0.3756,0.2253,0.4409,0.3323,0.4409
100000865,Hispanic,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1112,0.1321,0.0581,0.1126,0.0614,0.1148,0.0038,0.0797,0.0573,0.1321,0.1148
100000874,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.5129,0.3661,0.5208,0.5685,0.2641,0.4902,0.5029,0.5534,0.3605,0.5685,0.5534
100000879,All Other,Woman,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.1941,0.2291,0.2169,0.1798,0.1317,0.2016,0.2181,0.1173,0.1762,0.2291,0.2181
100000887,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.5689,0.5253,0.6361,0.3857,0.3832,0.4287,0.5737,0.5727,0.3177,0.6361,0.5737
100000899,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,-0.0116,0.0591,-0.0111,0.0017,-0.0179,0.0628,0.0185,0.0357,-0.0392,0.0591,0.0628
100000914,Asian,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.3936,0.3882,0.5882,0.347,0.2933,0.5255,0.6359,0.4214,0.3855,0.5882,0.6359
100000927,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3316,0.2528,0.3675,0.2106,0.1911,0.3695,0.3728,0.3387,0.272,0.3675,0.3728
100000944,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.397,0.4342,0.2797,0.3071,0.1348,0.3141,0.2184,0.4319,0.1974,0.4342,0.4319
100000945,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.3343,0.2549,0.4377,0.3493,0.1751,0.4047,0.4374,0.3484,0.3439,0.4377,0.4374
100000952,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.3428,0.299,0.5244,0.3681,0.1803,0.4491,0.6334,0.3682,0.4268,0.5244,0.6334
100000975,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.1592,0.2201,0.3134,0.1917,0.2111,0.266,0.2082,0.0974,0.2118,0.3134,0.266
100000983,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.284,0.2551,0.3897,0.3049,0.186,0.2956,0.3314,0.2663,0.2474,0.3897,0.3314
100000988,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.3559,0.2801,0.4953,0.3726,0.2534,0.3432,0.5157,0.331,0.3531,0.4953,0.5157
100001014,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.1016,0.1257,0.2064,0.0771,0.213,0.0812,0.0128,0.0546,0.0628,0.2064,0.213
100001060,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.4025,0.2995,0.4789,0.2802,0.4611,0.3734,0.3058,0.3098,0.254,0.4789,0.4611
100001078,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.0561,0.0951,0.0879,0.0897,0.074,0.1214,0.0294,0.0055,0.0869,0.0951,0.1214
100001097,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,-0.0101,0.0395,0.0463,0.1128,0.0372,0.0697,0.0692,-0.0053,0.0699,0.1128,0.0699
100001117,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.1716,0.2026,0.2698,0.2663,0.2198,0.1406,0.1125,0.1519,0.0671,0.2698,0.2198
100001136,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2812,0.2995,0.3058,0.3552,0.2371,0.3767,0.3231,0.2782,0.269,0.3552,0.3767
100001143,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.1256,0.1498,0.0886,0.0087,0.0989,0.0481,0.0708,0.0779,0.0709,0.1498,0.0989
100001148,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.0858,0.1524,0.1797,-0.0239,0.2085,-0.0261,0.0754,0.0177,-0.0317,0.1797,0.2085
