model,gender,education,politics,pgreen,standpointNum,mgender,meducation,mpolitics,mpgreen,mstandpointNum,
qwen/qwen3-32b,Female,"Some college, no degree",Very liberal,100,3,male,college,liberal,pro-environmental,3,
gemini-2.0-flash-001,Male,"Some college, no degree",Liberal,16,1,male,no,conservative,not,1,
llama-3.3-70b-versatile,Female,"Some college, no degree",Moderate,20,2,female,college,liberal,pro-environment,2,
openai/gpt-oss-120b,Female,College graduate/some postgrad,Very liberal,52,3,female,no,liberal,pro-environment,3,
qwen/qwen3-32b,Male,"Some college, no degree",Very liberal,81,1,male,college,conservative,not,1,
llama-3.3-70b-versatile,Female,College graduate/some postgrad,Moderate,22,1,male,college,conservative,not,1,
qwen/qwen3-32b,Male,Postgraduate,Very liberal,86,1,female,college,conservative,not,1,
llama-3.3-70b-versatile,Female,College graduate/some postgrad,Very liberal,81,3,female,college,liberal,pro-environement,3,
gemini-2.0-flash-001,Female,College graduate/some postgrad,Very conservative,11,1,male,no,conservative,not,1,
llama-3.3-70b-versatile,Male,College graduate/some postgrad,Very liberal,20,1,male,college,liberal,pro-environment,1,
gemini-2.0-flash-001,Male,Associate's degree,Conservative,7,1,male,no,conservative,not,1,
gemini-2.0-flash-001,Female,College graduate/some postgrad,Liberal,40,2,male,college,liberal,pro-environment,2,
qwen/qwen3-32b,Male,Postgraduate,Conservative,7,1,male,college,conservative,not,1,
gemini-2.0-flash-001,Male,"Some college, no degree",Very liberal,100,3,male,no,conservative,not,1,
openai/gpt-oss-120b,Female,College graduate/some postgrad,Moderate,46,2,male,college,conservative,not,2,
gemini-2.0-flash-001,Female,"Some college, no degree",Conservative,40,2,male,no,conservatives,not,2,
qwen/qwen3-32b,Female,"Some college, no degree",Moderate,31,2,male,no,conservatives,not,2,
qwen/qwen3-32b,Female,College graduate/some postgrad,Very liberal,35,1,female,college,liberal,pro-environment,1,
gemini-2.0-flash-001,Female,College graduate/some postgrad,Very liberal,7,1,male,college,conservative,not,1,
gemini-2.0-flash-001,Female,College graduate/some postgrad,Liberal,90,2,female,college,liberal,pro-environment,2,
qwen/qwen3-32b,Male,College graduate/some postgrad,Moderate,16,1,male,college,conservative,not,1,
openai/gpt-oss-120b,Female,College graduate/some postgrad,Very liberal,31,1,male,college,conservative,not,1,
gemini-2.0-flash-001,Male,"Some college, no degree",Conservative,11,1,male,no,conservative,not,1,
gemini-2.0-flash-001,Female,"Some college, no degree",Moderate,93,2,female,college,liberal,pro-environment,2,
qwen/qwen3-32b,Male,High school graduate,Moderate,40,1,male,college,conservative,not,1,
qwen/qwen3-32b,Male,College graduate/some postgrad,Very liberal,74,1,male,college,liberal,pro-environment,1,
qwen/qwen3-32b,Female,Postgraduate,Conservative,86,1,male,college,liberal,pro-environment,1,
openai/gpt-oss-120b,Male,College graduate/some postgrad,Conservative,68,1,male,college,liberal,pro-environment,2,
